Setup,R@1,R@5,R@10
"v1 nb04 (scratch text, template query)",0.106,0.332,0.488
"v4 nb07 (pretrained text, template query)",0.208,0.523,0.668
"v4 nb07 (pretrained text, brand query)",0.155,0.438,0.593
"v4 nb07 (pretrained text, shopper query)",0.074,0.244,0.371
"v4 nb07 (pretrained text, short query)",0.054,0.183,0.277
"v5 nb08 (pretrained + rotation, template query)",0.155,0.438,0.599
"v5 nb08 (pretrained + rotation, brand query)",0.159,0.435,0.586
"v5 nb08 (pretrained + rotation, shopper query)",0.095,0.301,0.452
"v5 nb08 (pretrained + rotation, short query)",0.078,0.245,0.369
