Model,Query type,Top-1,Top-5,MRR,Precision@5
TF-IDF,templated,0.5227016037948949,0.8050598599503049,0.6485535365664333,0.16101197199006098
TF-IDF,short,0.0734131466004066,0.20081319177772758,0.14608600238154593,0.04016263835554552
TF-IDF,shopper,0.08425570363677434,0.2163993675175062,0.161073475067926,0.043279873503501244
TF-IDF,brand,0.6513782196113873,0.8908721192950746,0.7563207972482835,0.17817442385901489
Dual-encoder (v4),templated,0.17370679918680823,0.47029591145245087,0.31418759266119184,0.09405918229049018
Dual-encoder (v4),short,0.04743618703410888,0.17077027332279196,0.12211028087792349,0.03415405466455839
Dual-encoder (v4),shopper,0.07160605376101198,0.23514795572622543,0.1651710463194959,0.04702959114524508
Dual-encoder (v4),brand,0.13917758698599186,0.4017171260732038,0.2683651132650269,0.08034342521464076
