Model,Query type,Top-1,Top-5,MRR,Precision@5
TF-IDF,templated,0.5227016037948949,0.8050598599503049,0.6485535365664333,0.16101197199006098
TF-IDF,short,0.0734131466004066,0.20081319177772758,0.14608600238154593,0.04016263835554552
TF-IDF,shopper,0.08425570363677434,0.2163993675175062,0.161073475067926,0.043279873503501244
TF-IDF,brand,0.6513782196113873,0.8908721192950746,0.7563207972482835,0.17817442385901489
Dual-encoder (v4),templated,0.17415857239665689,0.4621639936751751,0.31384656468420685,0.09243279873503502
Dual-encoder (v4),short,0.05172803252767111,0.17641743844590016,0.12602626873147257,0.035283487689180035
Dual-encoder (v4),shopper,0.07409080641517958,0.24079512084933363,0.16725868716462253,0.04815902416986673
Dual-encoder (v4),brand,0.14008133755083596,0.40216900135562583,0.2702430089053339,0.08043380027112516
